Community,WRF_RH2_Day,WRF_RH2_Night,WRF_T2_Day,WRF_T2_Night,WRF_TSK_Day,WRF_TSK_Night,WRF_TW2_Day,WRF_TW2_Night,WRF_WBGT_Day,WRF_WBGT_Night
NORWOOD PARK,47.59657976596705,68.99296300343805,27.65037713921163,23.00864160532822,36.02243141625412,20.29695161559593,19.172756904562828,18.65834294248056,24.498553556035333,19.951430812531655
ROSELAND,49.6113338470459,70.9045600891113,27.3818298339844,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
SOUTH DEERING,50.55203580761877,71.33452124403271,27.178767287971024,22.922038340143548,35.52962030915589,20.33647272958382,19.406296319662307,19.02421038080951,24.418945137432694,20.1352211893456
ASHBURN,47.88540616034357,68.77147977197343,27.83924275256882,23.263628535351756,36.22451498570045,20.535657141678588,19.531471016297704,18.95349700422597,24.69284944421113,20.18276536900253
AUBURN GRESHAM,49.82145593989928,70.96035941503331,27.320774715551856,22.922371142636223,35.75030287674799,20.36022979000858,19.421950077804844,18.95990860742392,24.46084450384366,20.099098341197596
BRIDGEPORT,54.8638401031494,73.372615814209,25.98671875,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
AVONDALE,49.3682594299316,70.6914443969727,27.2229858398438,22.8345733642578,35.9826599121094,20.2070861816406,19.11572265625,18.6786136627197,24.3162183761597,19.9615669250488
ARCHER HEIGHTS,48.0709334028528,68.84083386684988,27.764096571696985,23.22363696125024,36.15854327467759,20.492403528911986,19.472630304291727,18.91344003688047,24.66336547514096,20.152256139048237
MOUNT GREENWOOD,47.87323795760309,68.90626050286546,27.945194290964256,23.188073955335103,36.00471760639391,20.543105057565853,19.674049543280397,19.01668366843776,24.75917592942089,20.139273345545703
HYDE PARK,54.15158816944468,73.0641439819336,26.167721113725147,22.63168717817827,34.79058033336298,20.124823053533422,19.069677599126653,18.769256789467555,23.916851702603424,20.024279452237234
LOOP,81.0549430847168,79.4371452331543,21.0359436035156,21.1983276367188,19.2289367675781,19.2289367675781,17.1085929870605,17.4745121002197,21.8766555786133,19.1776285171509
PULLMAN,49.6113338470459,70.9045600891113,27.3818298339844,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
KENWOOD,54.8638401031494,73.372615814209,25.98671875,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
