Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,77.55308473876325,47.06357413637603,27.80791968024484,20.580170838814517,36.0386918330254,18.600491340852955,19.71998076156973,17.883165648786456,24.57415953687653,18.77225111247949
ROSELAND,78.52931552144122,48.41407962845727,27.71556791519066,20.60418165463498,36.03773466668262,18.740398084724813,19.910339093499893,18.038782595242427,24.65355962105549,18.91018947339353
SOUTH DEERING,79.26307771114685,51.414644374746,27.06804159326077,20.534142633758435,35.22693288598906,18.761104305461764,19.920818256285497,18.06532788900492,24.40707978056029,18.90597221345083
ASHBURN,78.42322803059652,46.61278298768384,28.20532744019036,20.54100780988649,36.44823718480467,18.73120939322679,19.94654859996049,17.97820363389859,24.92044797164493,18.83937140889354
AUBURN GRESHAM,78.58620859660836,49.73019572845067,27.316311726319054,20.61239210705929,35.80679257548097,18.64798364795343,19.84694076158999,18.039971797957893,24.422194300716527,18.91336622184248
BRIDGEPORT,79.46620247281832,54.15285356291408,26.393761878178083,20.549079447779167,34.847259271555934,18.63083373760355,19.772584828837147,18.09986060241176,23.988710633639627,18.936413234677783
AVONDALE,78.9879552426167,51.52691896352545,26.740314159905303,20.494675855565816,35.44492026459215,18.54599995594037,19.62019952156417,17.9848612257578,24.113620935611088,18.840650331899127
ARCHER HEIGHTS,78.02023754568408,47.2482349570895,27.943747436933503,20.64120611210021,36.41767284910196,18.720932208463807,19.82550861320194,18.008843153882026,24.807765304975515,18.896295269819834
MOUNT GREENWOOD,78.48334940699527,46.50910118343957,28.247980391652938,20.525089740954,36.4542565403989,18.732899272717987,19.965238135889983,17.97292908196704,24.93935461666707,18.830031527067494
HYDE PARK,78.680778503418,50.9844245910645,27.0775085449219,20.6114135742188,35.6102233886719,18.6156555175781,19.8160457611084,18.0537738800049,24.2994728088379,18.92702293396
LOOP,81.8147888183594,76.9716186523438,21.9330993652344,20.0728088378906,19.2289367675781,19.1739440917969,18.9298152923584,17.9470958709717,22.0162773132324,18.5453853607178
PULLMAN,78.85778982284221,49.98737103888328,27.322973113364387,20.567749932471767,35.614005230842785,18.67884372143033,19.89970618308856,18.042157984794475,24.4702965797262,18.90076808523623
KENWOOD,78.680778503418,50.9844245910645,27.0775085449219,20.6114135742188,35.6102233886719,18.6156555175781,19.8160457611084,18.0537738800049,24.2994728088379,18.92702293396
