Community,MODIS_NDVI,MODIS_TSK_Day,MODIS_TSK_Night,Hardship_Index,Income_per_capita,Dist_coast,Area
NORWOOD PARK,0.4218796445922174,38.159632847307535,19.38220354722525,21.0,32875,10859.896246439752,0
ROSELAND,0.4502283842343774,37.164693161790765,19.83713622722652,52.0,17949,2142.2227522230564,0
SOUTH DEERING,0.4373700329120883,32.94899185450324,19.31392384775577,65.0,14685,1252.3771166580852,0
ASHBURN,0.3576435373662687,39.338153837392895,20.085210368134728,37.0,23482,10438.348890164443,0
AUBURN GRESHAM,0.37925111710222,38.08628517934988,20.166126487522607,74.0,15528,6556.130961223316,0
BRIDGEPORT,0.2401175507889295,37.48012192221104,19.448875261260717,43.0,22694,2512.5846914853755,0
AVONDALE,0.2725967806763226,38.62809495551881,20.498551587392598,42.0,20039,4323.821910282198,0
ARCHER HEIGHTS,0.202084128401234,38.42669899187624,19.193989963828788,67.0,16134,9534.837882364602,0
MOUNT GREENWOOD,0.4668832878154422,37.99780212801416,19.576813415633243,16.0,34381,8896.526017560764,0
HYDE PARK,0.4113953998425753,30.752899673488336,18.9218083310923,14.0,39056,143.5521517064516,0
LOOP,0.2486235605210344,32.511553447300216,19.50976736538919,3.0,65526,498.6686831035461,0
PULLMAN,0.4082410822301073,35.84095481960857,19.224994038930586,51.0,20588,708.4077011271979,0
KENWOOD,0.3927155015872249,30.90913432465568,18.576528556880188,26.0,35911,330.34476008588814,0
WOODLAWN,0.4333953769232626,33.31257108140743,19.669770774784272,58.0,18672,389.5562556489463,0
LINCOLN SQUARE,0.3907140709236255,35.59311714168689,19.280475413111155,17.0,37524,1393.7497559364078,0
NORTH PARK,0.4989934115373552,35.859718065566874,19.499396059985425,33.0,26576,4254.688745131285,0
WEST ENGLEWOOD,0.4296234481454941,37.81142959462085,20.61211909340449,89.0,11317,6307.582720382247,0
RIVERDALE,0.504598163020138,33.108565126129115,19.346050675217523,98.0,8201,670.2517742703081,0
WEST LAWN,0.2909978364251472,39.34574930683274,19.629793796656973,56.0,16907,11347.727231175442,0
IRVING PARK,0.3476104602508624,38.00452043093874,19.826672841466788,34.0,27249,4791.6220123730345,0
AUSTIN,0.3436620412076074,38.89123514420537,20.17692530782927,73.0,15957,10200.491436174449,0
BURNSIDE,0.4013514383923997,37.49453889132512,20.38290539216284,79.0,12515,3057.1187092118043,0
EAST SIDE,0.3819772035827986,33.652753673697624,19.138496527187137,64.0,17104,1696.5907242721216,0
WEST RIDGE,0.4125515837519946,35.94609519079301,19.15252509444568,46.0,23040,1856.3020052896816,0
MONTCLARE,0.3590414215879491,39.80098452103371,19.791085714259356,50.0,22014,11478.62453063012,0
LOWER WEST SIDE,0.1997232294653186,37.798228860911244,19.88133147513086,76.0,16444,3357.394952503345,0
WEST ELSDON,0.2989592957639201,38.95097530572573,20.13756059330377,69.0,15754,10119.905738533163,0
NORTH CENTER,0.3130820763735424,37.501180256141744,20.02392242149504,6.0,57123,1843.215246627092,0
