Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,73.19431110568401,40.48742302058592,30.315612887110365,21.293326025327865,37.28347946990733,19.10263489867852,20.27339059491389,17.989469615965707,25.375716488404287,19.03552552005012
ROSELAND,74.4725799560547,42.072093963623,30.5604187011719,21.2889038085938,37.0074401855469,19.30556640625,20.5758533477783,18.1680965423584,25.611364364624,19.1705532073975
SOUTH DEERING,74.71210669496934,42.52536500532931,30.4393487563462,21.26321742426525,36.79803625031455,19.30674484668081,20.62663814386011,18.168458218446776,25.57454865729112,19.16910283567759
ASHBURN,73.86007249924039,42.10536381430983,30.64695833564389,21.33626486689708,37.48348422051584,19.27995432462425,20.555539727516155,18.108106248734423,25.545836066711395,19.15607416837864
AUBURN GRESHAM,74.42977052442873,42.08022422869972,30.52998305107647,21.29272137511104,37.07325743993314,19.29728044341342,20.555626503451503,18.16705410794749,25.575447078547047,19.16976393166488
BRIDGEPORT,74.13102093236198,42.168508291244486,30.405127637139728,21.32163690369703,37.11241654363177,19.202913659194444,20.46579341641785,18.1530723797864,25.48593871141304,19.164164462993867
AVONDALE,73.71413566724425,41.54649841683311,30.31291136510165,21.282784973179364,37.34244901699589,19.15891401899805,20.383881721954086,18.065744712650968,25.49444986710477,19.082433723436612
ARCHER HEIGHTS,73.51434374015781,41.414109241788864,30.58206243055801,21.41979370117192,37.73116824159702,19.30718612756332,20.475217960182515,18.125759199511965,25.60412405426269,19.20321462189092
MOUNT GREENWOOD,74.34060433799341,42.00371360056027,30.515261680201508,21.21759330026728,37.41965761204775,19.273256823088023,20.6693086893182,18.070565133345763,25.661367836400117,19.09369233542994
HYDE PARK,75.18104049405181,42.39828821078215,29.737456809304025,21.166951194069625,36.817042436079554,19.309058105468804,20.388219704367938,18.16915903680975,25.448548220547767,19.113685487226974
LOOP,74.9413833618164,42.7346839904785,29.6515747070313,21.169580078125,36.4298645019531,19.2613159179688,20.3347911834717,18.1321125030518,25.3313655853271,19.0917873382568
PULLMAN,74.4725799560547,42.072093963623,30.5604187011719,21.2889038085938,37.0074401855469,19.30556640625,20.5758533477783,18.1680965423584,25.611364364624,19.1705532073975
KENWOOD,75.13705134619812,42.38324278650072,29.76868674007667,21.17416650364682,36.84425471728464,19.30614474840808,20.390952192381548,18.169736714216143,25.444726216299,19.116697976236992
WOODLAWN,74.970861931843,42.3264017160992,29.886672292393357,21.201425683047468,36.9470617344104,19.29513819048748,20.40127543356425,18.171919158626636,25.43028682206752,19.128079051087347
LINCOLN SQUARE,73.6572866439819,41.1295023575372,30.234847837835044,21.260602230194177,37.35766877686847,19.08344312783236,20.31052629039805,18.033031563741893,25.389291998330407,19.05414112606933
NORTH PARK,73.4568405151367,40.8730773925781,30.3087097167969,21.2786193847656,37.4602600097656,19.0398498535156,20.2962589263916,18.0187454223633,25.3582515716553,19.0500869750977
WEST ENGLEWOOD,74.25557055028557,42.102000970902544,30.37840525640237,21.311335442157542,37.334342783323216,19.25246112020831,20.4573321621744,18.168072492940155,25.41464778847739,19.169038686386852
RIVERDALE,74.96204600150948,42.67112408109279,30.317882234587543,21.192614690911824,36.86206437610682,19.271158718839597,20.673512028000367,18.13301398610164,25.611123255309955,19.125850715058288
WEST LAWN,73.8580703735352,42.1054725646973,30.6472412109375,21.3364196777344,37.4850402832031,19.2798706054688,20.5554733276367,18.10791015625,25.5456218719482,19.15602684021
IRVING PARK,73.49747772056679,41.41688945886345,30.44138471157078,21.31355471055628,37.47838565790394,19.13950476471297,20.400158342759703,18.062885268412536,25.512683233959603,19.08887555541669
AUSTIN,73.27886515915999,41.41886963145902,30.51191303368775,21.35731345378992,37.317367114442746,19.157256337368167,20.405030501912336,18.069889895241687,25.44811181407987,19.11035005402083
BURNSIDE,74.4725799560547,42.072093963623,30.5604187011719,21.2889038085938,37.0074401855469,19.30556640625,20.5758533477783,18.1680965423584,25.611364364624,19.1705532073975
EAST SIDE,75.13067673987591,42.947026323442586,30.1725070185813,21.22269318735004,36.792791164011554,19.470937468605204,20.519970765452864,18.202528237214437,25.50971359131738,19.15727421303199
WEST RIDGE,73.98428101480962,41.13138335633073,30.04836738559964,21.199858010014463,37.20541476920662,19.058844663968262,20.269991553795897,18.02221258879837,25.309176197491126,19.027264111728524
MONTCLARE,73.1427154541016,41.1615562438965,30.6077514648438,21.3429809570313,37.5514465332031,19.1513610839844,20.3800106048584,18.0333938598633,25.4585704803467,19.0810146331787
LOWER WEST SIDE,74.04428409207063,42.112018591044624,30.48328716337937,21.337466560302428,37.17761869784571,19.1959816723549,20.479604163390626,18.15468097910131,25.503714696867394,19.17140312428405
WEST ELSDON,73.60278568020117,41.59143560678213,30.59876893126407,21.39836530047106,37.66824599350848,19.300171349646448,20.495828550416867,18.12116518125429,25.58914230110408,19.191099494606323
NORTH CENTER,74.1298828125,41.7648391723633,30.0745788574219,21.2194152832031,37.129052734375,19.1923156738281,20.3510322570801,18.0671501159668,25.4690971374512,19.0655059814453
WEST TOWN,74.00460358413079,41.82283258052907,30.232153238135453,21.263149183966664,37.12022515323784,19.186083633254757,20.39259109123539,18.08738280008006,25.459601059333508,19.09468955013129
SOUTH SHORE,75.1932112896081,42.41337117570821,29.758475737138276,21.1671114256888,36.78235084071305,19.313366606741287,20.401134136228883,18.169477209900368,25.468152912457796,19.1153169400764
GRAND BOULEVARD,74.3647918701172,42.1191101074219,30.3169494628906,21.3008361816406,37.3219848632813,19.2549987792969,20.4389228820801,18.1798782348633,25.377628326416,19.169584274292
CHATHAM,74.4725799560547,42.072093963623,30.5604187011719,21.2889038085938,37.0074401855469,19.30556640625,20.5758533477783,18.1680965423584,25.611364364624,19.1705532073975
WEST PULLMAN,74.88522464355468,42.41207312377928,30.316275263671866,21.188582402343783,37.10725221679692,19.24125781250002,20.617311697387677,18.12929490173343,25.654860214233377,19.115723764038066
HEGEWISCH,75.22402673942905,43.06234800274548,30.2043207986606,21.166083326971343,36.56835082610191,19.309709619776854,20.69016805021305,18.1424738073194,25.52221297720744,19.124537175744948
NEAR WEST SIDE,73.91692646821501,42.02584699134412,30.465532455368315,21.32715224687266,37.06133946183912,19.183200605702456,20.464399483054123,18.1291565979704,25.43975085660681,19.146643437987446
UPTOWN,74.24459990415043,41.78253388892364,29.99969050361911,21.208626769603505,37.09126329579862,19.25500460348899,20.31389627391664,18.075801164056926,25.451177923913843,19.056554991175144
ENGLEWOOD,74.33809164935828,42.11775301047535,30.3312718399908,21.30397079875276,37.31142256649034,19.2502092401069,20.442351217439708,18.17789750000138,25.38790253291143,19.16983053521516
PORTAGE PARK,73.15433372409866,41.17327917690936,30.604504885618763,21.34332398162496,37.555922058807006,19.148654700969853,20.38333635659053,18.035874035714706,25.464732937429165,19.082443958589387
EDGEWATER,74.1906585693359,41.5593566894531,29.9244018554688,21.20205078125,36.9757934570313,19.1494384765625,20.2921199798584,18.0674686431885,25.4175453186035,19.0501022338867
WASHINGTON PARK,74.3647918701172,42.1191101074219,30.3169494628906,21.3008361816406,37.3219848632813,19.2549987792969,20.4389228820801,18.1798782348633,25.377628326416,19.169584274292
CHICAGO LAWN,73.8580703735352,42.1054725646973,30.6472412109375,21.3364196777344,37.4850402832031,19.2798706054688,20.5554733276367,18.10791015625,25.5456218719482,19.15602684021
EAST GARFIELD PARK,73.3731842041016,41.5971260070801,30.4455200195313,21.3672424316406,37.1552062988281,19.1613403320313,20.42236328125,18.0951728820801,25.4408664703369,19.130672454834
SOUTH LAWNDALE,73.63021591021486,41.82636534523001,30.560345055384204,21.397705718784096,37.329013448619605,19.2580627351384,20.474898323314157,18.14561535545509,25.537734007296223,19.18956228788858
AVALON PARK,74.51024558265543,42.09152520457934,30.518660091566915,21.282682823433017,36.99518750043559,19.305949686341368,20.56682296739316,18.16828942958209,25.60379244917528,19.167818093278637
NEAR NORTH SIDE,75.19934561834009,42.90914793529604,29.758673200591705,21.163745988761537,36.690357154559,19.647988816681178,20.284632339415115,18.160753575557585,25.37265853366756,19.085630978773125
JEFFERSON PARK,73.41255112872622,40.85322934964447,30.329130292030865,21.28351212431564,37.45000464538808,19.052377849564124,20.299021956543204,18.016693784463385,25.365414474001287,19.05010928886741
CLEARING,73.7899738640095,41.55717057005535,30.46101758765666,21.31169930215209,37.64179334936676,19.258198196695503,20.48457854980903,18.05937432100421,25.6167060814818,19.128281578937244
FULLER PARK,74.3647918701172,42.1191101074219,30.3169494628906,21.3008361816406,37.3219848632813,19.2549987792969,20.4389228820801,18.1798782348633,25.377628326416,19.169584274292
LOGAN SQUARE,73.91039321615092,41.71619193746438,30.182174834257356,21.26229433806045,37.13663889251141,19.18333090077276,20.37172268458777,18.07527845868413,25.46090849053048,19.08440830633507
HERMOSA,73.35940158029136,41.5550106675954,30.46296401717942,21.364410008104148,37.21728640810527,19.155705166043354,20.42169969699333,18.09048274063661,25.453000468883246,19.126016764649822
NORTH LAWNDALE,73.4458426310364,41.69101483728632,30.519862928337275,21.39380583097149,37.2589908493298,19.22431445201685,20.450059306022197,18.122178356740758,25.49719600171351,19.16573321619515
BELMONT CRAGIN,73.1692823323312,41.20862429354033,30.590564282498896,21.345507536733532,37.51327555315269,19.15152630826425,20.38525820801113,18.040320666135656,25.458695140879005,19.08640919544371
ALBANY PARK,73.52513032692013,41.2168431447069,30.360857846712317,21.292529693399672,37.44642594875391,19.10204782769688,20.353835684354177,18.044975521641227,25.445903215251995,19.071230368970305
HUMBOLDT PARK,73.45406934571406,41.61505322800221,30.40586932096504,21.351440869826128,37.15241068807768,19.164651352931724,20.414738554671533,18.09217746834432,25.4438841070578,19.12370667034605
GAGE PARK,73.57764532094137,41.54081340289666,30.593995395846743,21.40446568663144,37.68628803635627,19.302170560782844,20.48995475082593,18.122470532101044,25.5934281797826,19.19455343898584
LINCOLN PARK,74.8362921311879,42.47131004170706,29.91730289377835,21.182389864100823,36.97099928876244,19.589747179012367,20.29117748374451,18.128717509306338,25.429111887686283,19.07221986219857
MORGAN PARK,74.42269209453039,42.091586804651925,30.52807460617236,21.27266476809329,37.21079937023124,19.295843790913683,20.59462768625425,18.138906672760687,25.644030187156176,19.151323767808783
FOREST GLEN,73.43321467923445,40.85105311299712,30.3038452685719,21.27491162797093,37.38167933074519,19.046431560247704,20.29860025862573,18.01123665151463,25.36636359926683,19.04318440464184
LAKE VIEW,74.2667550008357,41.87951918297773,30.03332823613213,21.211597259412088,37.14011600179912,19.298980144104203,20.32419001671578,18.07930658948892,25.46573817550498,19.059673075522145
WASHINGTON HEIGHTS,74.4725799560547,42.072093963623,30.5604187011719,21.2889038085938,37.0074401855469,19.30556640625,20.5758533477783,18.1680965423584,25.611364364624,19.1705532073975
EDISON PARK,73.26255585086335,40.624240578844855,30.28818447447932,21.26570755451407,37.06089555757679,19.087644568942792,20.300133101754916,17.97411444786219,25.39870952140432,19.013006835845093
CALUMET HEIGHTS,74.5343251659612,42.249623008290655,30.506314184103832,21.291943262185285,36.94275926723604,19.30396256173492,20.57035274991561,18.17944892956193,25.59103451382581,19.17996037234169
GARFIELD RIDGE,73.71384230557216,41.45127244968252,30.4692557591275,21.33568570176134,37.68508037402531,19.269872160221187,20.47398116357908,18.070537955151984,25.62178996036793,19.14373552112276
GREATER GRAND CROSSING,74.54761914539124,42.17205983002212,30.22370484934656,21.27150452507045,37.1805716648453,19.272068149976583,20.44397259343246,18.176293163539608,25.419143275469875,19.158017681352018
OHARE,73.07702827469753,40.699854832607656,30.280511045839337,21.324121723990284,37.31746921999394,19.13315142979828,20.31624363105377,17.969225444301294,25.445803864971865,19.054537735437368
SOUTH CHICAGO,74.67958810251466,42.55031566784019,30.40418408077066,21.29055210448377,36.86141563323608,19.34428651057913,20.55224706941953,18.198746154312428,25.55832547173032,19.189721956105327
DUNNING,73.10307186199294,41.10163751969125,30.58042829646625,21.354107033727573,37.56946093698383,19.143615683944763,20.372475009135925,18.02958464672905,25.468170887824115,19.087622229190995
ARMOUR SQUARE,74.86147884830764,42.6688411310649,29.73196105272785,21.18565935211866,36.51630458404129,19.25721636716565,20.34822263632122,18.135726030632025,25.343606863321167,19.10016222598838
MCKINLEY PARK,73.99787782762871,42.05921996069735,30.5018703773374,21.3451027792008,37.2233020219647,19.201932413069954,20.481496035466392,18.15321568973729,25.512549165819543,19.174574911398956
ROGERS PARK,74.63253948670929,41.52766108922936,29.72306278987955,21.111012702960675,36.860878654311264,19.102237362123564,20.24551910615963,18.037056320715312,25.27961165313349,19.00687137458485
