Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,90.29876219055647,59.39779445383418,26.244748340596903,17.58829417348825,31.28576322815409,16.05545138086941,20.22407253137898,16.52617188382578,24.543315087247297,16.680696875760994
ROSELAND,86.9095306396484,57.934139251709,26.6883178710938,18.68544921875,31.9277282714844,17.1631408691406,20.3589935302734,17.20703125,24.7664699554443,17.4498119354248
SOUTH DEERING,86.10087793263324,56.61114314141017,26.753962234629107,18.955409738108603,33.7198575988025,17.886134654434517,20.182426341492327,17.370877463464925,24.60896918766937,17.69053570987856
ASHBURN,87.4763111223696,55.24235678129708,27.08346082915091,18.54051545915259,33.316925642560875,17.31781982109388,20.262887799798097,17.133041420453434,24.84605259547987,17.373440731173726
AUBURN GRESHAM,86.17972581722094,57.22108105923653,26.719311581548965,18.859769247884163,32.717807467187406,17.53415905612806,20.256844632081464,17.28766052441312,24.703581544693893,17.569378205616893
BRIDGEPORT,81.42323832676327,56.74943853246753,26.210467910766575,20.02103399079425,36.11588841142323,19.626717876565845,19.655959396526708,17.852152524323316,24.110865046238093,18.348258495330807
AVONDALE,83.14100989881477,52.814354311051495,26.87745841313333,19.50876614033053,36.87607100490573,19.243384566380573,19.630639661726835,17.547975455196433,24.243350922755,17.99020918296586
ARCHER HEIGHTS,86.9149004091474,54.59410941453954,27.03756845096191,18.71259069154409,33.93027414832381,17.532986884207904,20.10131684930165,17.23028906836086,24.69043822251132,17.490040876296707
MOUNT GREENWOOD,88.05868804289165,55.613230992367406,27.09668618935035,18.39359013928869,33.15856984991778,17.07617249177633,20.341513903969208,17.060648501747558,24.85565515779194,17.277824404264738
HYDE PARK,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
LOOP,81.7331466674805,59.1199340820312,25.7448364257813,20.0789428710938,36.1980529785156,19.5807434082031,19.6109676361084,17.9286251068115,23.9195175170898,18.407169342041
PULLMAN,86.9095306396484,57.934139251709,26.6883178710938,18.68544921875,31.9277282714844,17.1631408691406,20.3589935302734,17.20703125,24.7664699554443,17.4498119354248
KENWOOD,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
WOODLAWN,81.9570133979484,53.90001563436503,26.789661203830494,19.872867713891612,36.81758656001307,19.581019903639223,19.7056115901908,17.757979992036816,24.33240773643526,18.25932666654596
LINCOLN SQUARE,82.59748055671876,57.11423012540011,25.989876070395884,19.788429835852337,35.79104191247254,19.380860683671937,19.543896135486328,17.720621399183724,23.92811691039826,18.188925290022883
NORTH PARK,83.73595424430079,54.57475269828944,26.4871579716866,19.43750127022016,36.55725622967649,19.12939868099477,19.574835905953066,17.512281077248694,24.12980372481032,17.95083859526079
WEST ENGLEWOOD,82.01023543682633,53.56450486752064,26.85611900610935,19.85139910848951,36.87819857318076,19.573387811292523,19.70836857446101,17.74344521644576,24.36034843461371,18.242981635567464
RIVERDALE,85.25877541975316,52.57290359585756,27.40848746566108,19.10392059730188,35.76784099397793,18.607028414042997,20.07991791510524,17.386349681426868,24.760287825276816,17.81024680293137
WEST LAWN,88.2471466064453,55.1916656494141,27.158837890625,18.3525024414063,32.91494140625,17.0312133789063,20.3341541290283,17.0388927459717,24.9497833251953,17.2473106384277
IRVING PARK,83.1885604858398,52.5973701477051,26.9204650878906,19.4917236328125,36.9046264648438,19.2374816894531,19.6342144012451,17.5382137298584,24.2570514678955,17.9782466888428
AUSTIN,85.92433268614488,53.97834363850682,26.9462065012768,18.872737806493596,35.02105179122002,18.17105906804401,19.897718524692,17.254997571911474,24.469102110826626,17.584540529082528
BURNSIDE,86.9095306396484,57.934139251709,26.6883178710938,18.68544921875,31.9277282714844,17.1631408691406,20.3589935302734,17.20703125,24.7664699554443,17.4498119354248
EAST SIDE,85.16482044168029,57.803030726769016,26.403014988978644,19.236677567428615,34.48212726264064,18.35932078859272,20.05602634043266,17.545021132153213,24.371388038600603,17.900181286995075
WEST RIDGE,82.58358723506004,58.780861010351465,25.634028081253305,19.839887517846652,35.86337560138201,19.34807998142344,19.489900010348645,17.751504111914045,23.80811807313056,18.23588244902228
MONTCLARE,89.14255863947318,56.80181571083202,26.839685164926788,17.996901732122446,32.65952310063699,16.69170829959031,20.28711542269078,16.772018592116723,24.715399924886395,16.96138797321384
LOWER WEST SIDE,81.64314351481494,56.04380840676703,26.321831738150436,19.958733033020785,36.31275256595252,19.565930143079672,19.642345319704848,17.81366481919698,24.119841746794883,18.30819143155868
WEST ELSDON,87.25683320890533,54.74708502252141,27.06883414437125,18.6201547110117,33.66985690091163,17.404157329486935,20.161137067354627,17.181141137838594,24.75712614411953,17.427705149312356
NORTH CENTER,83.08751160069951,53.15412856352185,26.80398535451038,19.53367515254099,36.81638510543878,19.25218972165287,19.62233541721045,17.562244836114242,24.216444781792283,18.006626935219813
WEST TOWN,82.1973571777344,57.1204566955566,26.0239807128906,19.8469787597656,36.3093811035156,19.3605285644531,19.5596981048584,17.74169921875,23.9714603424072,18.2276077270508
SOUTH SHORE,82.25802493817875,54.999641312974894,26.640242397423943,19.813581674749205,36.3883390831225,19.464182767001056,19.765090112252647,17.74234983776556,24.32702023549511,18.227687902884067
GRAND BOULEVARD,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
CHATHAM,86.9095306396484,57.934139251709,26.6883178710938,18.68544921875,31.9277282714844,17.1631408691406,20.3589935302734,17.20703125,24.7664699554443,17.4498119354248
WEST PULLMAN,85.47586286621093,53.27794874389649,27.313779433593755,19.048888281250044,35.26283561523438,18.41714571289067,20.11661857910152,17.362767880859398,24.761100824584997,17.762846749877895
HEGEWISCH,86.20534662832779,56.83611006431292,26.656674568764466,18.993112729349058,34.012604826721095,17.974550964156712,20.13242868761025,17.425821023085735,24.50241356682956,17.749271996712455
NEAR WEST SIDE,82.13056888447208,57.16398244080015,26.02782868435707,19.86808624419708,36.30039015643497,19.38740842292456,19.568310144867525,17.757268805232858,23.97868043057107,18.243400562320623
UPTOWN,83.13869471118184,65.49488401180815,24.46413149290447,20.001823465408563,30.58921734030777,19.869593503482157,19.46889497149652,17.969619775120226,23.39731111870076,18.44775162374612
ENGLEWOOD,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
PORTAGE PARK,83.55514284769694,52.9831430424219,26.894760307224296,19.38444512904376,36.57397031235974,19.0452757736732,19.67804219092444,17.475222683500974,24.281037208403653,17.900582246670805
EDGEWATER,84.6655349731445,79.5763854980469,21.9496704101563,20.227197265625,20.7595458984375,20.7173095703125,19.346658706665,18.3480167388916,22.504508972168,18.8273487091064
WASHINGTON PARK,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
CHICAGO LAWN,82.56872602942194,51.51555140107555,27.284645948528876,19.6625369797801,37.11756046359738,19.43519519475734,19.748410032108488,17.626787486604847,24.55750149654073,18.10451785233489
EAST GARFIELD PARK,82.49404995992064,55.66384746336255,26.323904133120397,19.739128040892894,36.43793983659194,19.33331231721408,19.587137397601893,17.681627194780177,24.08533974648073,18.163501514259515
SOUTH LAWNDALE,84.86563551648644,54.6468196782625,26.786212762853296,19.19337878531997,35.07009812226575,18.384902401964503,19.86400021493964,17.453927415662104,24.400442198900567,17.82242135570232
AVALON PARK,86.65028225492938,57.7494339104958,26.68946256612056,18.74787255728702,32.18250265266087,17.290321256176448,20.32555401484735,17.236265085511285,24.742645268776247,17.49251604888398
NEAR NORTH SIDE,82.72888740189921,64.74457959301536,24.714910269329884,20.07410020344387,31.425614866765525,19.960517735957307,19.569800761639588,18.013596905428916,23.55820396332808,18.494534707888832
JEFFERSON PARK,90.06091485336484,59.45728779023221,26.2163352760109,17.64355204519616,31.330359950120823,16.124717485582504,20.199037519661164,16.55078221472074,24.521917508835937,16.716000313004038
CLEARING,87.71342564390736,53.609605459164186,27.36814417597881,18.429252715225044,34.29943288754025,17.444938804538502,20.225940035842832,17.04852596002017,24.872104678623668,17.311154931651426
FULLER PARK,81.9568939208984,53.897575378418,26.7900634765625,19.8728576660156,36.8181396484375,19.5809875488281,19.705545425415,17.7579402923584,24.3324813842773,18.2592926025391
LOGAN SQUARE,82.48825380076535,55.79302912173063,26.287079388162336,19.74271910294241,36.48407267694888,19.324416981572664,19.58156701792841,17.681980651357904,24.055275129235305,18.154425683228887
HERMOSA,83.1885604858398,52.5973701477051,26.9204650878906,19.4917236328125,36.9046264648438,19.2374816894531,19.6342144012451,17.5382137298584,24.2570514678955,17.9782466888428
NORTH LAWNDALE,84.32319588368168,54.65940786739966,26.705308788448743,19.304630782484328,35.45335753883065,18.64169506733647,19.784239136306947,17.49396339475108,24.33016686266359,17.893533952409346
BELMONT CRAGIN,83.98110210973938,53.136954928521696,26.91299134435262,19.295157651871246,36.35051626805961,18.904220965906024,19.72054857849085,17.438726558799843,24.318732335562707,17.845273318139377
ALBANY PARK,83.37755509673569,53.52690042983278,26.719560663238312,19.48074367872931,36.735642426333904,19.19562341241888,19.60901454700869,17.533988350437994,24.19672822517991,17.974237392219408
HUMBOLDT PARK,82.92940650750057,53.68876815192171,26.71410689947324,19.58326300722668,36.704962473700775,19.27818649087502,19.61928909511115,17.592158196454754,24.207584299551257,18.05279259964702
GAGE PARK,82.6359943144732,51.57160701212356,27.27603144706985,19.6495115147765,37.0691738413048,19.40376979170853,19.75083918142444,17.62235087612909,24.55424174723101,18.09632946494923
LINCOLN PARK,82.82630553591471,63.27523828671968,24.94530222907682,19.971410429562447,31.98498319840191,19.822024583884343,19.550503300738704,17.9209935797397,23.61837338519466,18.40500265639673
MORGAN PARK,87.10790712230803,56.834637645836736,26.854514903812653,18.638791268736465,32.575524462186394,17.26252075446831,20.32385556252446,17.182464376910705,24.785960116229184,17.432006663673505
FOREST GLEN,88.84843530789227,58.43631780651254,26.27508918869666,17.99126911431969,32.39485123325401,16.723853205291324,20.070708767796912,16.737635883814846,24.445093743230224,16.95679035589729
LAKE VIEW,82.46527117110492,59.29730642448617,25.573300400600612,19.9019834675669,34.91065682578682,19.496756626799115,19.52358410879705,17.80303958496315,23.792042233867075,18.28094744801949
WASHINGTON HEIGHTS,86.9095306396484,57.934139251709,26.6883178710938,18.68544921875,31.9277282714844,17.1631408691406,20.3589935302734,17.20703125,24.7664699554443,17.4498119354248
EDISON PARK,90.32886971667124,59.49195914937316,26.228645880551944,17.57917193615831,31.231779367579676,16.03599401448978,20.223880644643348,16.520800464449213,24.540710062359917,16.674386556646557
CALUMET HEIGHTS,85.17273806918196,58.08359400755284,26.477911415829077,19.11761241354001,33.57108568325168,18.04734147187249,20.174899798593668,17.42354324972554,24.549106964791637,17.753186696046477
GARFIELD RIDGE,87.09490030861772,53.14748776102796,27.36024783708812,18.64275062006881,34.781022404793696,17.77630699319263,20.129799802703964,17.18414395694531,24.79117638570828,17.469968919490743
GREATER GRAND CROSSING,82.52263557899376,54.358673671785205,26.77844103566676,19.7372195277994,36.25950601583299,19.304795962958664,19.78018906178799,17.695009733792773,24.382056071012737,18.16682530464995
OHARE,88.74890416517023,55.81561818229813,26.82292193502778,18.001845455193905,33.3297050924862,16.866476441721133,20.183504672540856,16.756341994580602,24.633893752774064,16.94900996934243
SOUTH CHICAGO,82.76258268372737,58.2850366838623,26.186784785626934,19.717306376734623,35.851005745919,19.274306583896948,19.919216481010164,17.723955966601487,24.24775409993944,18.174170106372408
DUNNING,90.09846400955368,59.86900610709184,26.435942173032927,17.46957475621333,30.67191493553685,15.614491407002085,20.46034743396298,16.35086240454477,24.709171291709676,16.514308817110866
ARMOUR SQUARE,81.40235382559054,56.86104560646773,26.187785558315657,20.02683284058169,36.0884059546774,19.62850752347251,19.65401885755391,17.855839500512797,24.10219213673889,18.3517401571231
MCKINLEY PARK,81.75999780248422,55.383476826402,26.456168202884864,19.923192383813102,36.46436492419632,19.5556748937388,19.65316011553905,17.790635063609162,24.17338458045585,18.285314312919244
ROGERS PARK,84.22227057192188,74.62839472440305,22.82048144141348,20.11909577465761,24.53972643353137,20.361597204559853,19.373221646948554,18.194976942545075,22.814505395490976,18.67774222231025
WEST GARFIELD PARK,83.1614685058594,52.3871650695801,26.9985900878906,19.4965148925781,36.7271362304688,19.2720886230469,19.6488628387451,17.5464935302734,24.3415145874023,18.0192928314209
NEW CITY,82.01553155194085,53.53143532054049,26.862677456546063,19.84926855428847,36.88416163916348,19.5726332567185,19.70864887624983,17.742006044924445,24.363115268362552,18.241362169805974
BRIGHTON PARK,82.67421394046487,52.097957524671976,27.159343630242432,19.651736231494407,36.94184632152072,19.357788367483558,19.737426170996446,17.629081173822964,24.490962076422825,18.10028856000951
BEVERLY,87.25911144614638,57.01050595086315,26.823074946003096,18.60375680647524,32.43692937513098,17.18103140627068,20.32596901494512,17.171594294007605,24.781543419406503,17.40690824526164
OAKLAND,82.0857407181351,57.54045698377822,26.11426097728588,19.984361662688077,34.77175157335069,19.77834178783273,19.686438511036037,17.878274465490275,24.09669316609698,18.374249719690425
NEAR SOUTH SIDE,81.48391228064953,57.65541779857235,26.03127131921183,20.04816939974632,36.09623771931911,19.615586098902316,19.639053462252523,17.88152044881447,24.03828123384018,18.37192661740813
DOUGLAS,81.42800051499697,56.84704162392147,26.192465590146227,20.02389579798642,36.05920223146172,19.63223011774645,19.655518960149976,17.85537660129947,24.104624059144108,18.351340646454776
