Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,93.5015087384614,89.7296915721158,35.87361801971196,34.477829989553435,43.42255281188496,41.03505319433529,24.87125943926735,24.04653357969152,29.75056732864182,28.768221407990865
ROSELAND,94.4593168701861,91.22765725710882,35.51106368573575,34.17937248854401,42.95572787739712,40.377168724296936,24.88338231457256,24.0432058856494,29.826594996788774,28.586972820007457
SOUTH DEERING,94.41569539227896,91.41444265170144,35.19789524752393,33.8140098093797,41.990016440426615,39.54383200537383,24.889422239034964,24.00474914977065,29.58117762732332,28.482164922650817
ASHBURN,94.2278965924046,90.99483760534568,35.36151132847734,34.01934265711987,43.16254039655214,40.86415382120701,25.036127130847103,24.120780122760078,29.784846933891743,28.6054852643012
AUBURN GRESHAM,94.69882870157434,91.42211915424488,35.69859906973787,34.41492134418842,43.08231555469969,40.45517330788248,24.945598989326086,24.007253468089853,29.862789820518174,28.751941127033632
BRIDGEPORT,95.85472103316212,93.02283749087104,35.379112789548685,33.8286876974435,42.95771242339033,39.40624437332152,24.60437222184806,23.7158624057112,29.587176922272032,28.157244341126805
AVONDALE,95.01385218229794,91.47005037714044,35.574158835506445,33.902994035843946,43.00686028184793,39.83167988479244,24.59409522683468,23.746642543546542,29.59861193275123,28.26526917000622
ARCHER HEIGHTS,93.84597793784144,90.82484435607977,35.46800097628915,34.222147691476806,43.13029614285154,40.94242697926145,25.11692504199328,24.17955627099664,29.8453558999774,28.689035865254024
MOUNT GREENWOOD,94.21031562917614,90.9584968221564,35.3414344996403,34.00702411852385,43.1889697278475,40.89970585873252,25.02178700657895,24.124449013157903,29.786151681036685,28.618538085937505
HYDE PARK,95.3428824984464,92.57255705677382,35.52216065340915,33.988038535378195,43.00841469282672,39.79093561345884,24.721000000000004,23.82151988636364,29.817648499367436,28.31736438196356
LOOP,99.0866836547852,97.0888423919678,29.0993835449219,27.3977676391602,23.8243041992188,23.5067687988281,22.83203125,22.59765625,26.127619934082,25.5604400634766
PULLMAN,94.23127861996907,91.17905772594692,35.46559111899524,34.127448191541326,42.86121078166558,40.189032566801046,24.95747589760638,24.05272918051861,29.72986618285487,28.63484684964444
KENWOOD,95.51114974959371,92.87458262914804,35.47430521106624,33.87398231660395,42.97788287009748,39.5956916622604,24.664343741697664,23.76953125,29.79776015611051,28.19859696954774
WOODLAWN,94.72079582559856,91.4399338002274,35.70578721889369,34.427781880479806,43.06550017058626,40.42761617994843,24.93698128246537,24.0030946157432,29.864651501858337,28.76004660682085
LINCOLN SQUARE,95.1488216389965,92.11246511350748,35.43626891573981,33.25014454308778,42.7445739895424,39.38872714942038,24.51430525050045,23.609154317726865,29.59411789666713,27.962555897617705
NORTH PARK,94.6033595645239,90.9515615670138,35.660115746930416,34.13393033278264,43.21591295111117,40.298088213670006,24.685717385912696,23.799706514550262,29.659460696804,28.43614131348891
WEST ENGLEWOOD,94.73212378192282,91.5120104343583,35.66200959598001,34.34870710172948,43.05678843445133,40.36912862428791,24.93689414994578,23.995729392624725,29.835529356216604,28.688175195554653
RIVERDALE,93.84495001852338,90.99149474568009,35.292957425879706,33.97059363666029,42.84677450976376,40.2871040450168,25.040832105666777,24.12311813852116,29.715319054012088,28.62613851345853
WEST LAWN,93.84701898935676,90.82532516467872,35.467064722218744,34.22116881836311,43.13079180766479,40.94292203208363,25.116585280262647,24.1796875,29.84521805567573,28.68906771133826
IRVING PARK,94.79734549347278,91.13259346912936,35.624085952102384,34.0702103605801,43.14362422146554,40.10943396649359,24.644508706059813,23.78238129590765,29.62836665927047,28.3784573525972
AUSTIN,93.8591732470676,90.20243052430828,35.839955177692474,34.312464918993975,43.25551096405647,40.92106604841022,24.952139189749055,24.029420794862684,29.794052751377404,28.749745825926464
BURNSIDE,94.7154205322266,91.43434715271,35.7121093750001,34.4337936401367,43.0849395751953,40.4444290161133,24.9384765625,24.00390625,29.8675086975098,28.7626686096191
EAST SIDE,95.81250023315252,92.75804190412052,33.850883015273375,32.511258091544256,37.658749200356375,35.93348284330383,24.5074047371407,23.795326683055983,28.99092971640169,27.87000263837394
WEST RIDGE,95.4725037220185,92.51729763828594,35.36129162228097,33.085247825831885,42.68488474171912,39.3566731217456,24.443442526017023,23.571798131504263,29.556975895747197,27.864007837950577
MONTCLARE,94.0411552429199,90.1227283477783,36.0478088378906,34.4624725341797,43.111279296875,40.7287307739258,24.94140625,24.00390625,29.758353805542,28.7535066604614
