Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,92.67087972940084,89.08566463342972,36.46800262451173,35.147201130138924,44.23953285040768,42.23938104781519,25.18630251847686,24.117403398136243,30.040167757048994,28.91241019452448
ROSELAND,92.59058957319724,89.01032702875722,35.757428565613,34.73108959538914,43.64925541272166,41.96680566423479,25.287150715839605,24.4140625,29.975998817652,28.96553791141241
SOUTH DEERING,92.7223869625152,88.91906578006694,35.801355364443666,34.61806767953893,43.76760249929702,41.70113753803232,25.30276226806003,24.39573248397268,29.92128296634097,28.921533782129465
ASHBURN,93.0902770559317,89.16719996465868,35.95540209284827,34.732361564964684,44.00864024438613,42.146404999468224,25.234556358360493,24.296875,29.985737835886574,28.94142630290565
AUBURN GRESHAM,92.83977683650988,89.11931758280207,35.898752155207454,34.66878214696802,43.89088031981044,42.03478524759392,25.28730201437445,24.306323917732826,29.970526194097182,28.88369051454608
BRIDGEPORT,92.39079006951432,89.13931522287169,35.976479944689544,34.74066750427775,43.62277403864366,41.35465511453561,25.244224811422416,24.184612405711206,29.981977751337247,28.8010022763548
AVONDALE,92.57114309749898,89.07717108168242,36.42295724290364,35.03508281522587,44.22549920553213,42.04177562859592,25.127694888635062,24.073007388635077,29.979443725812477,28.860746627123568
ARCHER HEIGHTS,92.72202397909298,89.23892459677155,36.13951657627359,34.77542911884103,43.93668045778694,42.23670754085597,25.234371719274915,24.296875,29.98219389322754,29.043796247757825
MOUNT GREENWOOD,92.2506996154785,88.5413436889648,35.722250366211,34.5444656372071,44.1328002929688,42.4051452636719,25.287109375,24.47265625,30.0113845825195,29.0745487213135
HYDE PARK,92.66871748768204,89.25675602999603,36.03690182217688,34.84737998268827,43.78790526234023,41.65397713401104,25.37625710227273,24.251278409090908,30.049181311867446,28.870516402504677
LOOP,92.3595230102539,89.127513885498,35.9712615966797,34.7302642822266,43.6080108642578,41.3357711791992,25.234375,24.1796875,29.9759075164795,28.7963237762451
PULLMAN,92.64492153573548,88.76358225091973,35.81605338076325,34.673913083177936,43.81348875816828,41.84112795565995,25.302932804188824,24.4140625,29.916099389258864,28.94701083213724
KENWOOD,92.7315208435059,89.2679195404053,36.0333465576172,34.8540359497071,43.7836547851563,41.5604415893555,25.3515625,24.23828125,30.048127746582,28.8519859313965
WOODLAWN,92.44966348760867,89.21807347248384,36.048532159771824,34.82313718231799,43.80229827279284,41.98133132845152,25.462459834509858,24.29693743340437,30.052852551963817,28.935363330038268
LINCOLN SQUARE,92.57331100409566,89.12199455732977,36.38620629361518,35.013052440113896,44.21104011535646,41.9938350711429,25.11988651370663,24.06534106705961,29.970520924673355,28.847520948729084
NORTH PARK,92.589786529541,89.1068992614746,36.4025329589844,35.025895690918,44.2319549560547,42.0230880737305,25.1171875,24.0625,29.9705413818359,28.8508634567261
WEST ENGLEWOOD,92.86203230128976,89.14858804193858,35.93182146537156,34.690810713695626,43.90608334820602,42.001501493529865,25.2891906605884,24.290668214479396,29.979712030185983,28.88197681443552
RIVERDALE,92.58206353512436,88.80587422004777,35.60518724628133,34.512939656115684,43.77746725799883,41.93877776567498,25.228899691233465,24.4140625,29.87634538854365,28.87347150641869
WEST LAWN,93.0910629272461,89.1673316955566,35.9555541992188,34.7325988769531,44.0089721679688,42.1467681884766,25.234375,24.296875,29.9857917785645,28.9416494369507
IRVING PARK,92.589786529541,89.1068992614746,36.4025329589844,35.025895690918,44.2319549560547,42.0230880737305,25.1171875,24.0625,29.9705413818359,28.8508634567261
AUSTIN,92.33437063031724,88.90662349685273,36.69185871644456,35.073628140459185,44.189866301989305,42.27867250755583,25.16649697043679,24.224936745383527,30.008744181226028,28.923073158721728
BURNSIDE,92.89297963573948,88.99153400399828,35.83605404646039,34.7984055162142,43.70738203165921,41.85317924115911,25.374508990921797,24.4140625,29.92951996872541,28.908871624056832
EAST SIDE,93.03510638365408,89.50730303520514,35.598754274538585,34.40355705976851,43.38655910174535,41.43169444281829,25.23723044806638,24.33627730238276,29.96258874134289,28.845373293274992
WEST RIDGE,92.41402488643536,89.23120120916785,36.28797392422605,34.925890116720176,43.98664098551359,41.67856661707249,25.139420234153267,24.06279564806055,29.96965703371757,28.787231077496767
MONTCLARE,92.34604934532884,89.13298306481767,36.7010770791084,35.03127186206993,44.21887216601223,42.3355883129798,25.163123366724733,24.222969294425088,29.96105864122771,28.89932164248688
LOWER WEST SIDE,92.28727628647296,88.96095939253733,36.06833316001501,34.86523237378035,43.73240970417408,41.55657579879673,25.273616891504023,24.218929391504016,30.019852431158967,28.90678644344535
WEST ELSDON,92.8167312591583,89.22063957846962,36.09221790172721,34.76428618378695,43.955044772122456,42.213658573482206,25.234375,24.296875,29.983088887583357,29.017590806677152
NORTH CENTER,92.55353835741327,89.13128515341933,36.37405711068283,35.00264699121472,44.1895165754333,41.968458401358646,25.12479954205543,24.070153848792533,29.972223617268934,28.84626074182741
WEST TOWN,92.30516559241303,88.92401616669633,36.35568171189495,35.01391263889424,43.96216013129807,41.86805882167935,25.26404050642594,24.19569499694002,30.046242213815336,28.93346887306016
SOUTH SHORE,92.8868296550982,89.36290230100808,35.763472269231684,34.531505281274946,43.62867299975771,41.71859646999481,25.31774458451705,24.323330965909093,30.03834487293707,28.88138498103979
GRAND BOULEVARD,92.7315208435059,89.2679195404053,36.0333465576172,34.8540359497071,43.7836547851563,41.5604415893555,25.3515625,24.23828125,30.048127746582,28.8519859313965
CHATHAM,92.63155901109852,89.00778084832267,35.76808117015944,34.740209919697506,43.65713072080866,41.95141094310867,25.298986486486484,24.4140625,29.96970161231789,28.95786045693061
WEST PULLMAN,92.56264796826171,88.96008607849124,35.45828126367184,34.45626266113279,43.67724098339841,42.04713056884765,25.189309375,24.4140625,29.87678692236325,28.82973829223629
HEGEWISCH,92.66872861797988,88.82009994432283,35.76682181326237,34.56886669742946,43.75414356078437,41.69868609566129,25.280700325732912,24.390230557817585,29.893245051960736,28.923674779140203
NEAR WEST SIDE,92.29912179385914,88.98826751632917,36.0524173944232,34.84310312775058,43.71201338306859,41.52037287338425,25.26718282652044,24.21249532652044,30.0126472627558,28.88867508459424
UPTOWN,92.25337572404214,89.4176013430231,36.03810463731688,34.714004393283275,43.757984423614175,41.38732792335221,25.161632028967865,24.124345788704964,29.967646698919257,28.776221591982925
ENGLEWOOD,92.70988784388194,89.17433116768517,35.969347011441656,34.73721185904937,43.85791338798909,41.95322642114117,25.35176570903653,24.28876837212537,30.005900634573205,28.88943217557686
PORTAGE PARK,92.58521361361974,89.1164094042504,36.4089587148031,35.02603225488775,44.2270190289377,42.03818077218948,25.125622979525865,24.068123653017235,29.970285516607326,28.855478897862067
EDGEWATER,92.2499977111816,89.4182224273682,36.0658142089844,34.7610183715821,43.8006103515625,41.4197784423828,25.1728515625,24.12109375,29.9701194763184,28.781928062439
WASHINGTON PARK,92.63422828392602,89.25062545655632,36.03885423765207,34.84372477987792,43.79023946202962,41.70534328181853,25.38981843443858,24.25841595233609,30.04975988967308,28.88069262932186
CHICAGO LAWN,93.0910629272461,89.1673316955566,35.9555541992188,34.7325988769531,44.0089721679688,42.1467681884766,25.234375,24.296875,29.9857917785645,28.9416494369507
EAST GARFIELD PARK,92.21966547097765,88.5882519194385,36.34941375182082,35.12636324187364,43.98052500424661,42.04168415258212,25.30558225621728,24.296875,30.09394268925761,29.089466549339107
SOUTH LAWNDALE,92.48811505373014,88.90992977391772,36.23402768250413,35.02243739777965,44.07241912661756,42.10362994888896,25.28526571718289,24.296875,30.055091741162396,29.068669633058917
AVALON PARK,92.87864790958128,89.0061519513908,35.842764301283054,34.79488302157669,43.70967581457162,41.85474894078685,25.377101221008022,24.408260621097234,29.935619202817115,28.909025592106325
NEAR NORTH SIDE,92.45422221775335,89.35442184582476,35.92151185205842,34.585123838808684,43.45474440829062,41.15998337678549,25.21158241484247,24.197620448036005,29.97896218229627,28.81521086060669
JEFFERSON PARK,92.598947434812,89.10446056343879,36.412468055224345,35.041837310791045,44.2326150989901,42.04540429575567,25.12664677093389,24.068806180622595,29.978601815065336,28.85884746943665
CLEARING,92.829112154293,88.93420234483854,35.70806230005165,34.536132964140194,44.18517576283659,42.20842269992238,25.13767191659272,24.248523458296365,29.99415413992747,28.912288309518715
FULLER PARK,92.7315208435059,89.2679195404053,36.0333465576172,34.8540359497071,43.7836547851563,41.5604415893555,25.3515625,24.23828125,30.048127746582,28.8519859313965
LOGAN SQUARE,92.36969317394758,88.80603680107163,36.60416884712553,35.11935317234967,44.14375502592293,42.18762280955823,25.238462005046596,24.179287170031078,30.066946811320665,28.956300478988545
HERMOSA,92.41074859172048,88.82141148255316,36.59867290071368,35.11412213907804,44.16995863166335,42.202549734999,25.21809280482041,24.16340530482041,30.05603300718371,28.945774224394885
NORTH LAWNDALE,92.44986087783089,88.78760128380866,36.31780317722089,35.05688472246992,44.055156552192265,42.10744126229317,25.267164177068786,24.296875,30.061161081750964,29.05468626595077
BELMONT CRAGIN,92.41846112760436,88.89029712257025,36.594502960370896,35.09426691253291,44.18334711264095,42.20289712698082,25.19975827494996,24.161876474478127,30.03475587412329,28.92980397235063
ALBANY PARK,92.589786529541,89.1068992614746,36.4025329589844,35.025895690918,44.2319549560547,42.0230880737305,25.1171875,24.0625,29.9705413818359,28.8508634567261
HUMBOLDT PARK,92.34916647306736,88.67715003495012,36.55352630907365,35.12427008263081,44.08503146582379,42.17348165165189,25.24281070516912,24.228933172463307,30.07379449310013,28.99787216150008
GAGE PARK,92.78971515959512,89.22588932262903,36.10567650174728,34.76740674016411,43.94973401851707,42.22024591833279,25.234375,24.296875,29.98282270769838,29.025069489761
LINCOLN PARK,92.39214663010404,89.32630133866246,36.09749910400744,34.73383050867032,43.63482431164847,41.36334455986619,25.236000288940247,24.196273782005687,30.00871477249166,28.866630049552203
MORGAN PARK,92.4660748088753,88.83765427489854,35.719660587101224,34.640966290694024,43.82528018532218,42.13103129942342,25.278899811126376,24.435109568166208,29.980393667535463,28.99331054451702
FOREST GLEN,92.59598783546772,89.03738043341836,36.38654943761694,35.03524208874773,44.181558779864254,42.015623003999984,25.118765817561624,24.071536641725352,29.976454888598987,28.849822010120896
LAKE VIEW,92.25491067893186,89.40759223951667,36.03618722895144,34.704475468461304,43.74609485038293,41.38422990751094,25.161403729838717,24.12787718413979,29.969143666229836,28.778591730945024
WASHINGTON HEIGHTS,92.70236690331858,89.06062644931441,35.8227449313405,34.70029734618275,43.76048276644226,41.99638546341704,25.28837336546986,24.363502881205672,29.973093226728167,28.92569883044448
