Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,99.21349389083584,97.21671917236247,33.11721999533688,31.016171105784483,37.17866858082756,35.23155017450719,25.507647061776996,24.45427980398458,29.851348061451272,28.3587391983268
ROSELAND,95.69610523356658,93.16420447276876,34.040781911453536,32.38106195659761,42.595416779397,40.331400404577536,25.073867812206025,24.1878075299124,29.82719612049805,28.531136138643287
SOUTH DEERING,95.49801512684095,93.13544910339048,34.10625757356389,32.316915548549865,42.79650327821074,40.377131949004905,25.034607143555185,24.13781431610288,29.79456748799359,28.470616466196518
ASHBURN,97.9624013540771,95.322560497015,33.687409418828295,31.849203190793567,39.374031195086864,37.50911077437696,25.327928642075864,24.42576215964627,29.941714958348932,28.588897391255557
AUBURN GRESHAM,97.52936976012003,94.8880033183758,33.72720754317537,31.885977909232317,39.624538230271824,37.88794967301794,25.306906775327285,24.359012094149808,29.914022151149094,28.57963007342701
BRIDGEPORT,94.7460986795096,92.20583764026904,34.4504611771683,32.46835353127843,43.42045781365765,40.73633997686982,24.783241008890087,23.843783674568964,29.654579282629108,28.097054082771844
AVONDALE,95.4080993064127,92.72658751883692,34.370524022893726,32.184317475846704,43.56193088638252,40.880437916091786,24.855406285693896,23.827020720302684,29.68405989554869,28.08983136748399
ARCHER HEIGHTS,96.98286328459903,94.09738619036531,34.017177264821235,32.21842634109204,41.64714563589755,39.70051558132534,25.17292045772676,24.23841247900336,29.835668187499127,28.5663076723276
MOUNT GREENWOOD,98.70689314446705,96.38671763450218,33.58631832211146,31.76404913651316,39.00631318744863,36.99907250012856,25.39305427631579,24.531768092105263,29.951885321366174,28.676132263585146
HYDE PARK,94.59873801491476,92.1276208079945,34.421366099964565,32.43704653653234,43.48947767223021,40.82880559747875,24.804616477272727,23.85249467329546,29.66639024353031,28.10595658735798
LOOP,95.391495513916,92.8820972442627,34.4706817626953,32.2730575561524,43.5465240478516,41.0614334106446,24.7919921875,23.79150390625,29.6226303100586,28.2289066314697
PULLMAN,95.35506980165523,92.75021245631768,34.10123382243713,32.42511486296957,43.22177757100853,40.82755725941758,25.02088181515957,24.14444943691821,29.819192414790987,28.5258043035548
KENWOOD,94.7694915771484,92.2223892211914,34.4653350830079,32.4758010864258,43.4121093750001,40.6757217407227,24.765625,23.828125,29.6513896942139,28.0743570327759
WOODLAWN,94.00027573371608,91.79540875596952,34.26706837901551,32.30114892178165,43.761043535983546,41.36539206974806,24.941465561734148,23.93798828125,29.719031308214312,28.21684978791991
LINCOLN SQUARE,95.87355805223947,93.23950922277048,34.341264931078044,32.13980342688513,43.05136010112291,40.31595987476065,24.781029317726865,23.72634181772687,29.6027675277398,27.858861626679403
NORTH PARK,95.78457500551949,93.14426758848587,34.19239074061151,32.02393232947728,43.60977747410902,41.01597103273636,24.923408306464943,23.820296999007937,29.67206246259985,28.154223095172306
WEST ENGLEWOOD,94.419352722168,91.9746494293213,34.2427062988281,32.3643280029297,43.5370666503907,41.5830398559571,25.029296875,24.0625,29.6991306304932,28.414080619812
RIVERDALE,95.08592350645375,92.49321369236428,34.15821407171547,32.50517099372485,43.95882442229248,41.48724737564593,24.971820322590403,24.12892643082015,29.806438841556435,28.526665452914685
WEST LAWN,96.9877570069149,94.10305449751152,34.015934181286,32.21706381493932,41.63928102189076,39.692207787742056,25.173554152193564,24.23928494956223,29.83613395894208,28.56645735670597
IRVING PARK,95.42865699375794,92.79947400568416,34.319934001974644,32.14298486539477,43.755589673901945,41.05202471802146,24.868240916841547,23.856776298530946,29.698465998950844,28.182445660217866
AUSTIN,96.97228887478512,94.29308318881073,33.84807457683066,31.810491570559435,40.99587726930181,38.83473965158368,25.219391331528172,24.178125786058825,29.759277191487257,28.40070526000825
BURNSIDE,97.52971230192556,94.74866806328626,33.70811960231001,31.87756495981916,38.166928884836594,36.29144959689523,25.35188983938548,24.29016454259777,29.904047421503343,28.528210735853847
EAST SIDE,95.13825026380856,92.97707933809684,33.63722100885484,31.70129694859312,41.35032485638736,38.94711102241833,24.794462033732035,23.86154382564297,29.39582215148991,28.07580732181101
WEST RIDGE,96.37816339671444,93.80558230274671,34.33620055748137,32.06779584929758,43.01359602856886,40.25408246519439,24.743673131504256,23.68898563150425,29.53431467256574,27.84941270606299
MONTCLARE,99.343264135168,96.9240764325504,33.219558067188885,31.14985275002721,36.36142161299546,34.84769717226462,25.570625544425088,24.53125,29.89921948901455,28.56023130848845
LOWER WEST SIDE,95.7149876527023,93.13649344416902,34.26207026041111,32.34945548079822,42.15718332050504,39.75158541504563,24.922592566016068,24.00471351176808,29.724266051078214,28.225316003506748
WEST ELSDON,96.9821792602539,94.0964279174805,34.0173553466797,32.2185607910156,41.6493682861329,39.7025161743164,25.1728515625,24.23828125,29.8356307983398,28.5663537979126
NORTH CENTER,95.3971656799317,92.6144771575928,34.4620941162109,32.2499252319336,43.1773742675782,40.4945999145508,24.82421875,23.76953125,29.6656753540039,27.9053936004639
WEST TOWN,95.220135017311,92.68585449321472,34.442852744355754,32.24376860750496,43.27983542322097,40.55004794472145,24.845289550183598,23.766897399977044,29.66052302207621,27.992463263624916
SOUTH SHORE,94.3772338742921,92.05661818258692,34.22814811359752,32.297413880897345,43.503722089131735,40.94980689251068,24.979558771306824,23.956559614701707,29.732593501697924,28.248183868509354
GRAND BOULEVARD,94.7694915771484,92.2223892211914,34.4653350830079,32.4758010864258,43.4121093750001,40.6757217407227,24.765625,23.828125,29.6513896942139,28.0743570327759
CHATHAM,97.83499498109556,95.3919368950096,33.6572520488018,31.951487855653497,38.05721146867084,36.43072043753964,25.40223817567568,24.38456767314189,29.89683476009884,28.54641447840508
WEST PULLMAN,95.00615234375,92.4296817779541,34.1643096923829,32.5130172729492,44.0330139160156,41.5556198120117,24.9677734375,24.12109375,29.8055713653564,28.5254240036011
HEGEWISCH,97.86536110446198,95.5855767377425,33.61474752784423,31.848494022133348,38.88274405049712,37.02377965307908,25.32271796111564,24.484362276058636,29.895827272313685,28.559199401946564
NEAR WEST SIDE,94.97538661770426,92.82768257916985,34.40423432157145,32.24468422278335,43.39154194825196,40.61981038543313,24.878771692734304,23.77846197734921,29.653987728282505,28.155374104052022
UPTOWN,95.84897601936444,93.23145565898416,34.04686399940853,31.895470084512613,42.09241289029225,39.53351659431199,24.712108994644595,23.69969799780916,29.46581729380043,27.76886548225236
ENGLEWOOD,94.31067725840948,91.93390838894716,34.2632678544132,32.35139161740994,43.59865387596793,41.46300253372878,24.986785979228483,24.01043175943527,29.702454465645395,28.333439823427963
PORTAGE PARK,99.01585348304664,96.50832422519557,33.34282724665502,31.29130907168333,37.18261542046212,35.5014397522499,25.5208950700431,24.47420528017242,29.89404057053318,28.54043996553309
EDGEWATER,96.0434722900391,93.462438583374,34.2981689453125,32.1005264282227,43.0064147949219,40.2522445678711,24.765625,23.7109375,29.5803302764893,27.8422651290894
WASHINGTON PARK,94.50496668179588,92.07557761588308,34.3972200142143,32.41576401826217,43.53196538538534,40.91287340338108,24.82602910700829,23.865877566880183,29.67462797215228,28.123309855543777
CHICAGO LAWN,94.51020987506726,92.0498705766179,34.234717172131056,32.35916027360283,43.47014409579708,41.51637165772584,25.03438616606116,24.06873178497285,29.703969825201277,28.41947899821162
EAST GARFIELD PARK,95.03171904798582,92.71968526879049,34.359247163480795,32.22682959893338,43.654097056763376,40.91481517727399,24.908958128817627,23.81630143570026,29.651908163722048,28.18965519577216
SOUTH LAWNDALE,97.55772639061738,94.90273139610404,33.86751491580387,32.10543284720968,39.77920098318818,38.01919077345288,25.230820917450224,24.348699068952804,29.86709053148332,28.5275431206796
AVALON PARK,97.34636976189316,94.59430443953444,33.73828296780488,31.899538584291516,38.46097737975043,36.55468540514932,25.329975328947366,24.271093227308207,29.894265356412653,28.512414855684813
