Community,NDVI,LST_Day,LST_Night,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,0.4218954568656277,38.15950792710593,19.382166142063745,23.00864160532822,36.02243141625412,20.29695161559593,19.172756904562828,18.65834294248056,24.498553556035333,19.951430812531655
ROSELAND,0.4502286294094387,37.16464591709806,19.83710492820256,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
SOUTH DEERING,0.4280035245692452,32.63453175886048,19.34431517892979,22.922038340143548,35.52962030915589,20.33647272958382,19.406296319662307,19.02421038080951,24.418945137432694,20.1352211893456
ASHBURN,0.3576396828030201,39.33816237801291,20.08515740139797,23.263628535351756,36.22451498570045,20.535657141678588,19.531471016297704,18.95349700422597,24.69284944421113,20.18276536900253
AUBURN GRESHAM,0.3792421029770317,38.08643786281605,20.16618390383252,22.922371142636223,35.75030287674799,20.36022979000858,19.421950077804844,18.95990860742392,24.46084450384366,20.099098341197596
BRIDGEPORT,0.2398494367974709,37.47983584240899,19.448844889452808,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
AVONDALE,0.272570043924874,38.62770966116477,20.49888162519194,22.8345733642578,35.9826599121094,20.2070861816406,19.11572265625,18.6786136627197,24.3162183761597,19.9615669250488
ARCHER HEIGHTS,0.2020658320299011,38.42485236529426,19.19470131152733,23.22363696125024,36.15854327467759,20.492403528911986,19.472630304291727,18.91344003688047,24.66336547514096,20.152256139048237
MOUNT GREENWOOD,0.4671279753925929,37.996960108277655,19.576677058287043,23.188073955335103,36.00471760639391,20.543105057565853,19.674049543280397,19.01668366843776,24.75917592942089,20.139273345545703
HYDE PARK,0.4121091849811097,30.730252347211813,18.919370293452,22.63168717817827,34.79058033336298,20.124823053533422,19.069677599126653,18.769256789467555,23.916851702603424,20.024279452237234
LOOP,0.2374849805130522,32.487457689927616,19.53546796261861,21.1983276367188,19.2289367675781,19.2289367675781,17.1085929870605,17.4745121002197,21.8766555786133,19.1776285171509
PULLMAN,0.4080234647009028,35.84344216350059,19.22676801786194,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
KENWOOD,0.3927499007989677,30.904825083482663,18.57616975953139,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
WOODLAWN,0.4359741845522378,33.22759538649064,19.65275504255249,22.794484224964787,35.58899989262762,20.22980320178011,19.22596978150474,18.858934254613317,24.25446639368364,20.071883454117
LINCOLN SQUARE,0.3910061799655101,35.59275344638608,19.280205439838817,22.64441697062974,35.12943201845649,20.13153674034037,18.883354915418668,18.55681579180885,24.101219046158324,19.86636087648385
NORTH PARK,0.4989801667619914,35.859768380678055,19.499376484004426,22.65749942301868,35.81707940480062,20.06001280258152,18.877034814269464,18.53942515400145,24.160374678842214,19.854082599518808
